title,price,link
 Information Governance Training,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/information-governance-training.aspx
Moving and Handling of People in Residential Care Training,20 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/moving-and-handling-people-care-homes-course.aspx
Dementia Awareness,30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/dementia-awareness-training-course.aspx
Unconscious Bias Training,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/unconscious-bias-training-course.aspx
Stress Awareness in the Workplace Training,30 +VAT,https://www.highspeedtraining.co.uk/business-skills/stress-awareness-in-the-workplace-course.aspx
Conflict Management Training Course,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/conflict-management-training-course.aspx
Effective Leadership Training Course,125 +VAT,https://www.highspeedtraining.co.uk/business-skills/effective-leadership-training-course.aspx
Communication Skills Training,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/communication-skills-course.aspx
Employment Law,30 +VAT,https://www.highspeedtraining.co.uk/business-skills/employment-law-training.aspx
Performance Appraisal Training  ,30 +VAT,https://www.highspeedtraining.co.uk/business-skills/performance-management-training.aspx
Safeguarding Children: Internet Safety,30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/safeguarding-children-internet-safety-training-course.aspx
Internet Safety for Schools,30 +VAT,https://www.highspeedtraining.co.uk/education/internet-safety-for-schools.aspx
ADHD Training,30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/adhd-training.aspx
Project Management Training,60 +VAT,https://www.highspeedtraining.co.uk/business-skills/project-management-course.aspx
Drug and Alcohol Awareness,25 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/drug-and-alcohol-awareness-training.aspx
Time Management Training Course,20 +VAT,https://www.highspeedtraining.co.uk/business-skills/time-management-course.aspx
Food Allergens in Manufacturing,20 +VAT,https://www.highspeedtraining.co.uk/food-safety/food-allergens-in-manufacturing.aspx
Noise Awareness Training,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/online-noise-awareness-training.aspx
RIDDOR,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/riddor-training.aspx
Complaint Handling Training,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/complaint-handling-training.aspx
Domestic Violence and Abuse Training,30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/domestic-violence-and-abuse-training-course.aspx
Online Bookkeeping Course,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/bookkeeping-for-small-businesses-course.aspx
"Licensing Law Awareness
								Training Course",20 +VAT,https://www.highspeedtraining.co.uk/business-skills/licensing-law-awareness.aspx
Human Trafficking and Modern Slavery,30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/human-trafficking-training-course.aspx
Anaphylaxis Awareness Training,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/anaphylaxis-training.aspx
PA and Secretarial Skills,40 +VAT,https://www.highspeedtraining.co.uk/business-skills/pa-and-secretarial-skills-course.aspx
Welding Safety Training Course,20 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/welding-safety-training.aspx
"FGM, Forced Marriage & Honour-Based Violence Awareness",25 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/fgm-training.aspx
Dyslexia Awareness,30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/dyslexia-awareness-training-course.aspx
Patient Customer Service Course,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/patient-customer-service-course.aspx
Deprivation of Liberty Safeguards (DoLS) ,30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/dols-training.aspx
Business Writing Skills Training Course,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/business-writing-skills-training-course.aspx
Retail Customer Service Course,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/retail-customer-service-course.aspx
Interviewing Skills,30 +VAT,https://www.highspeedtraining.co.uk/business-skills/interviewing-skills-training.aspx
Health and Wellbeing,30 +VAT,https://www.highspeedtraining.co.uk/business-skills/health-and-wellbeing-course.aspx
Cleaning in Food Premises Training,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/cleaning-in-food-premises-training.aspx
How to Improve Your Food Hygiene Rating,39 +VAT,https://www.highspeedtraining.co.uk/food-safety/how-to-improve-your-food-hygiene-rating.aspx
Diabetes Awareness,25 +VAT,https://www.highspeedtraining.co.uk/health-and-nutrition/diabetes-training-course-online.aspx
Food Labelling Regulations Training,25 +VAT,https://www.highspeedtraining.co.uk/food-safety/food-labelling-regulations-training.aspx
LGBT Awareness,25 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/lgbt-awareness-training.aspx
HAVS (Hand-Arm Vibration Syndrome) Training,20 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/hand-arm-vibration-training.aspx
Business and Corporate Taxation Course,20 +VAT,https://www.highspeedtraining.co.uk/financial-services/business-corporate-taxation-course.aspx
Starting a Business Course,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/starting-a-business-course.aspx
Nutrition for Children,30 +VAT,https://www.highspeedtraining.co.uk/health-and-nutrition/nutrition-for-children-training-course.aspx
COMAH,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/comah-training.aspx
Restaurant Hospitality Training,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/restaurant-hospitality-training-course.aspx
Safeguarding Children with Disabilities,30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/safeguarding-children-with-disabilities-training-course.aspx
 Managing Contractors Training,30 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/managing-contractors-training.aspx
Presentation Skills Training,30 +VAT,https://www.highspeedtraining.co.uk/business-skills/presentation-skills-course.aspx
Introduction to Neuro-Linguistic Programming Training,40 +VAT,https://www.highspeedtraining.co.uk/personal-development/introduction-to-neuro-linguistic-programming-course.aspx
Bullying and Harassment,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/bullying-harassment-training.aspx
Sports Nutrition Training,30 +VAT,https://www.highspeedtraining.co.uk/health-and-nutrition/sports-nutrition-training-course.aspx
Equality and Diversity in Health and Social Care Training Course,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/equality-diversity-health-social-care.aspx
Negotiation Skills Training,40 +VAT,https://www.highspeedtraining.co.uk/business-skills/negotiation-skills-course.aspx
Corporate Social Responsibility,30 +VAT,https://www.highspeedtraining.co.uk/business-skills/corporate-social-responsibility-course.aspx
Dignity in Care,25 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/dignity-in-care-training.aspx
Person-Centred Care,25 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/person-centred-care.aspx
Introduction to Housing Management,30 +VAT,https://www.highspeedtraining.co.uk/business-skills/introduction-to-housing-management-course.aspx
Social Media Marketing Training,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/social-media-marketing.aspx
Nutrition for the Elderly,30 +VAT,https://www.highspeedtraining.co.uk/health-and-nutrition/nutrition-for-the-elderly-training-course.aspx
COSHH for Clinical Environments Training,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/coshh-for-clinical-environments-training.aspx
Cellar Management Course,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/cellar-management-course.aspx
Warehouse Safety Training,30 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/warehouse-safety.aspx
Corporate Event Management Training Course,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/corporate-event-management-training-course.aspx
Credit Control Course,30 +VAT,https://www.highspeedtraining.co.uk/financial-services/credit-control-training-course.aspx
Good Manufacturing Practice ,20 +VAT,https://www.highspeedtraining.co.uk/food-safety/good-manufacturing-practice.aspx
Disability Awareness for Employers Training,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/disability-awareness-training.aspx
Nutrition for Weight Loss,30 +VAT,https://www.highspeedtraining.co.uk/health-and-nutrition/nutrition-for-weight-loss-training-course.aspx
Needles and Sharps Training,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/needles-and-sharps-training.aspx
Networking Skills,30 +VAT,https://www.highspeedtraining.co.uk/business-skills/networking-skills-training.aspx
Child Neglect,30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/child-neglect-training.aspx
Disciplinary & Grievance Procedures Training,30 +VAT,https://www.highspeedtraining.co.uk/business-skills/disciplinary-training.aspx
Social Responsibility in Gambling,30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/social-responsibility-in-gambling-training-course.aspx
Safeguarding for Taxi Drivers,30 +VAT,https://www.highspeedtraining.co.uk/safeguarding-people/safeguarding-taxi-drivers.aspx
Cross-Cultural Awareness Training Course,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/cross-cultural-awareness-course.aspx
Anger Management,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/anger-management-course-online.aspx
Creative Writing Skills,40 +VAT,https://www.highspeedtraining.co.uk/personal-development/creative-writing-skills.aspx
Nutrition for Pregnancy and Babies,30 +VAT,https://www.highspeedtraining.co.uk/health-and-nutrition/nutrition-for-pregnancy-and-babies-training-course.aspx
Sexual Harassment Training For Managers & Supervisors,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/sexual-harassment-training-for-managers-and-supervisors.aspx
Fire Safety For Care Homes,30 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/fire-safety-care-homes.aspx
Corporate Manslaughter Training,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/corporate-manslaughter-training.aspx
Sexual Harassment Training For Employees,25 +VAT,https://www.highspeedtraining.co.uk/business-skills/sexual-harassment-training-for-employees.aspx
Lead Awareness Training,25 +VAT,https://www.highspeedtraining.co.uk/health-and-safety/lead-awareness-training.aspx
